'Ball bearing 608-2RS 8mm x 22mm x 7mm', 10
'Belt GT2 x 6mm x 1104mm',  1
'Linear rail carriage MGN7C',  4
'Euro-Cent coin',  4
'Extrusion E2020 x 260mm',  4
'Extrusion E2020 x 300mm',  4
'Extrusion E2020 x 320mm',  4
'Extrusion E2020 x 70mm',  4
'Extrusion E2040 x 60mm',  1
'Extrusion E2040 x 70mm',  1
'L-Bracket (20x20)', 28
'Nut M2 x 1.6mm ', 20
'Nut M3 x 2.4mm ',  8
'Nut M8 x 6.5mm ',  1
'Pulley GT2 idler smooth 12mm',  2
'Pulley GT2OB 20 teeth',  5
'Linear rail MGN7 x 70mm',  4
'Screw M2 cap x 10mm', 16
'Screw M2 cap x  6mm', 20
'Screw M3 grub x  4mm',  4
'Screw M3 grub x  6mm', 66
'Screw M3 pan x 16mm',  8
'Screw M4 cap x 12mm', 28
'Screw M4 cap x 20mm',  2
'Screw M4 dome x  8mm',  8
'Screw M8 hex x 50mm',  3
'Threaded rod M8 x 100mm',  4
'Lock ring (8mm)',  4
'T8-Nut (narrow)',  4
'T-Nut (20x20)', 28
'T-Nut (20x20)',  2
'T-Nut (20x20)',  8
'Washer  M2 x 5mm x 0.3mm', 16
'Washer  M4 x 9mm x 0.8mm', 38
